Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Direction of Country,NPR/PBS/Marist,"Right Direction 37, Wrong Track 57",Wrong Track +20,2018-04-18,2018
Direction of Country,Reuters/Ipsos,"Right Direction 33, Wrong Track 59",Wrong Track +26,2018-04-18,2018
Direction of Country,Economist/YouGov,"Right Direction 34, Wrong Track 56",Wrong Track +22,2018-04-18,2018
Direction of Country,Rasmussen Reports,"Right Direction 40, Wrong Track 54",Wrong Track +14,2018-04-23,2018
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 56",Wrong Track +25,2018-04-25,2018
Direction of Country,Economist/YouGov,"Right Direction 36, Wrong Track 54",Wrong Track +18,2018-04-25,2018
Direction of Country,Harvard-Harris,"Right Direction 35, Wrong Track 53",Wrong Track +18,2018-04-26,2018
Direction of Country,Rasmussen Reports,"Right Direction 41, Wrong Track 53",Wrong Track +12,2018-04-30,2018
Direction of Country,Monmouth,"Right Direction 35, Wrong Track 57",Wrong Track +22,2018-05-01,2018
Direction of Country,Economist/YouGov,"Right Direction 38, Wrong Track 51",Wrong Track +13,2018-05-02,2018
Direction of Country,Reuters/Ipsos,"Right Direction 41, Wrong Track 50",Wrong Track +9,2018-05-05,2018
Direction of Country,Rasmussen Reports,"Right Direction 42, Wrong Track 52",Wrong Track +10,2018-05-07,2018
Direction of Country,IBD/TIPP,"Right Direction 46, Wrong Track 53",Wrong Track +7,2018-05-08,2018
Direction of Country,Economist/YouGov,"Right Direction 38, Wrong Track 51",Wrong Track +13,2018-05-09,2018
Direction of Country,Reuters/Ipsos,"Right Direction 37, Wrong Track 52",Wrong Track +15,2018-05-09,2018
Direction of Country,Rasmussen Reports,"Right Direction 41, Wrong Track 53",Wrong Track +12,2018-05-14,2018
Direction of Country,Economist/YouGov,"Right Direction 42, Wrong Track 48",Wrong Track +6,2018-05-16,2018
Direction of Country,Reuters/Ipsos,"Right Direction 37, Wrong Track 54",Wrong Track +17,2018-05-16,2018
Direction of Country,Rasmussen Reports,"Right Direction 42, Wrong Track 52",Wrong Track +10,2018-05-21,2018
Direction of Country,Economist/YouGov,"Right Direction 37, Wrong Track 53",Wrong Track +16,2018-05-23,2018
Direction of Country,Reuters/Ipsos,"Right Direction 37, Wrong Track 53",Wrong Track +16,2018-05-23,2018
Direction of Country,Harvard-Harris,"Right Direction 36, Wrong Track 55",Wrong Track +19,2018-05-24,2018
Direction of Country,Rasmussen Reports,"Right Direction 42, Wrong Track 53",Wrong Track +11,2018-05-28,2018
Direction of Country,Economist/YouGov,"Right Direction 37, Wrong Track 54",Wrong Track +17,2018-05-30,2018
Direction of Country,Reuters/Ipsos,"Right Direction 37, Wrong Track 55",Wrong Track +18,2018-05-31,2018
Direction of Country,Rasmussen Reports,"Right Direction 39, Wrong Track 54",Wrong Track +15,2018-06-04,2018
Direction of Country,Economist/YouGov,"Right Direction 38, Wrong Track 54",Wrong Track +16,2018-06-06,2018
Direction of Country,IBD/TIPP,"Right Direction 47, Wrong Track 52",Wrong Track +5,2018-06-06,2018
Direction of Country,Reuters/Ipsos,"Right Direction 33, Wrong Track 56",Wrong Track +23,2018-06-06,2018
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 36, Wrong Track 55",Wrong Track +19,2018-06-07,2018
Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 51",Wrong Track +8,2018-06-11,2018
Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 53",Wrong Track +14,2018-06-13,2018
Direction of Country,Reuters/Ipsos,"Right Direction 36, Wrong Track 52",Wrong Track +16,2018-06-13,2018
Direction of Country,Monmouth,"Right Direction 39, Wrong Track 54",Wrong Track +15,2018-06-18,2018
Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 51",Wrong Track +8,2018-06-18,2018
Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 51",Wrong Track +12,2018-06-20,2018
Direction of Country,Reuters/Ipsos,"Right Direction 39, Wrong Track 52",Wrong Track +13,2018-06-20,2018
Direction of Country,USA Today/Suffolk,"Right Direction 40, Wrong Track 49",Wrong Track +9,2018-06-21,2018
Direction of Country,Rasmussen Reports,"Right Direction 42, Wrong Track 50",Wrong Track +8,2018-06-25,2018
Direction of Country,Reuters/Ipsos,"Right Direction 37, Wrong Track 54",Wrong Track +17,2018-06-27,2018
Direction of Country,Economist/YouGov,"Right Direction 37, Wrong Track 53",Wrong Track +16,2018-06-27,2018
Direction of Country,Harvard-Harris,"Right Direction 39, Wrong Track 52",Wrong Track +13,2018-06-27,2018
Direction of Country,Rasmussen Reports,"Right Direction 41, Wrong Track 53",Wrong Track +12,2018-07-02,2018
Direction of Country,IBD/TIPP,"Right Direction 45, Wrong Track 54",Wrong Track +9,2018-07-02,2018
Direction of Country,Reuters/Ipsos,"Right Direction 37, Wrong Track 53",Wrong Track +16,2018-07-04,2018
Direction of Country,Economist/YouGov,"Right Direction 38, Wrong Track 54",Wrong Track +16,2018-07-05,2018
Direction of Country,Rasmussen Reports,"Right Direction 39, Wrong Track 55",Wrong Track +16,2018-07-09,2018
Direction of Country,Reuters/Ipsos,"Right Direction 33, Wrong Track 58",Wrong Track +25,2018-07-11,2018
Direction of Country,Economist/YouGov,"Right Direction 37, Wrong Track 53",Wrong Track +16,2018-07-11,2018
Direction of Country,Rasmussen Reports,"Right Direction 42, Wrong Track 54",Wrong Track +12,2018-07-16,2018
Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 53",Wrong Track +14,2018-07-18,2018
Direction of Country,Reuters/Ipsos,"Right Direction 35, Wrong Track 56",Wrong Track +21,2018-07-18,2018
Direction of Country,Rasmussen Reports,"Right Direction 41, Wrong Track 54",Wrong Track +13,2018-07-23,2018
Direction of Country,Reuters/Ipsos,"Right Direction 36, Wrong Track 56",Wrong Track +20,2018-07-25,2018
Direction of Country,Economist/YouGov,"Right Direction 38, Wrong Track 53",Wrong Track +15,2018-07-25,2018
Direction of Country,Harvard-Harris,"Right Direction 39, Wrong Track 52",Wrong Track +13,2018-07-26,2018
Direction of Country,Rasmussen Reports,"Right Direction 41, Wrong Track 53",Wrong Track +12,2018-07-30,2018
Direction of Country,Economist/YouGov,"Right Direction 40, Wrong Track 52",Wrong Track +12,2018-08-01,2018
Direction of Country,Reuters/Ipsos,"Right Direction 37, Wrong Track 54",Wrong Track +17,2018-08-01,2018
Direction of Country,Rasmussen Reports,"Right Direction 44, Wrong Track 51",Wrong Track +7,2018-08-06,2018
Direction of Country,Economist/YouGov,"Right Direction 41, Wrong Track 52",Wrong Track +11,2018-08-08,2018
Direction of Country,IBD/TIPP,"Right Direction 50, Wrong Track 48",Right Direction +2,2018-08-08,2018
Direction of Country,Reuters/Ipsos,"Right Direction 36, Wrong Track 54",Wrong Track +18,2018-08-09,2018
Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 52",Wrong Track +9,2018-08-13,2018
Direction of Country,Economist/YouGov,"Right Direction 40, Wrong Track 52",Wrong Track +12,2018-08-15,2018
Direction of Country,Reuters/Ipsos,"Right Direction 37, Wrong Track 54",Wrong Track +17,2018-08-16,2018
Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 52",Wrong Track +9,2018-08-20,2018
Direction of Country,Monmouth,"Right Direction 36, Wrong Track 55",Wrong Track +19,2018-08-20,2018
Direction of Country,Economist/YouGov,"Right Direction 40, Wrong Track 50",Wrong Track +10,2018-08-22,2018
Direction of Country,Reuters/Ipsos,"Right Direction 36, Wrong Track 55",Wrong Track +19,2018-08-23,2018
Direction of Country,Rasmussen Reports,"Right Direction 41, Wrong Track 53",Wrong Track +12,2018-08-27,2018
Direction of Country,Harvard-Harris,"Right Direction 39, Wrong Track 52",Wrong Track +13,2018-08-28,2018
Direction of Country,Reuters/Ipsos,"Right Direction 34, Wrong Track 58",Wrong Track +24,2018-08-29,2018
Direction of Country,USA Today/Suffolk,"Right Direction 34, Wrong Track 55",Wrong Track +21,2018-08-29,2018
Direction of Country,Economist/YouGov,"Right Direction 38, Wrong Track 52",Wrong Track +14,2018-08-29,2018
Direction of Country,IBD/TIPP,"Right Direction 47, Wrong Track 53",Wrong Track +6,2018-09-01,2018
Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 52",Wrong Track +9,2018-09-03,2018
Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 54",Wrong Track +15,2018-09-05,2018
Direction of Country,Reuters/Ipsos,"Right Direction 34, Wrong Track 55",Wrong Track +21,2018-09-05,2018
Direction of Country,Rasmussen Reports,"Right Direction 42, Wrong Track 53",Wrong Track +11,2018-09-10,2018
Direction of Country,Reuters/Ipsos,"Right Direction 39, Wrong Track 57",Wrong Track +18,2018-09-12,2018
Direction of Country,Economist/YouGov,"Right Direction 40, Wrong Track 53",Wrong Track +13,2018-09-12,2018
Direction of Country,Rasmussen Reports,"Right Direction 44, Wrong Track 51",Wrong Track +7,2018-09-17,2018
Direction of Country,Reuters/Ipsos,"Right Direction 41, Wrong Track 53",Wrong Track +12,2018-09-19,2018
Direction of Country,Economist/YouGov,"Right Direction 42, Wrong Track 50",Wrong Track +8,2018-09-19,2018
Direction of Country,Rasmussen Reports,"Right Direction 42, Wrong Track 52",Wrong Track +10,2018-09-24,2018
Direction of Country,Economist/YouGov,"Right Direction 38, Wrong Track 53",Wrong Track +15,2018-09-26,2018
Direction of Country,Reuters/Ipsos,"Right Direction 40, Wrong Track 54",Wrong Track +14,2018-09-26,2018
Direction of Country,Harvard-Harris,"Right Direction 38, Wrong Track 53",Wrong Track +15,2018-09-30,2018
Direction of Country,Harvard-Harris,"Right Direction 38, Wrong Track 55",Wrong Track +17,2018-10-01,2018
Direction of Country,Rasmussen Reports,"Right Direction 40, Wrong Track 54",Wrong Track +14,2018-10-01,2018
Direction of Country,Reuters/Ipsos,"Right Direction 39, Wrong Track 55",Wrong Track +16,2018-10-03,2018
Direction of Country,Economist/YouGov,"Right Direction 36, Wrong Track 57",Wrong Track +21,2018-10-03,2018
Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 52",Wrong Track +9,2018-10-08,2018
Direction of Country,Reuters/Ipsos,"Right Direction 37, Wrong Track 58",Wrong Track +21,2018-10-10,2018
Direction of Country,Economist/YouGov,"Right Direction 38, Wrong Track 54",Wrong Track +16,2018-10-10,2018
Direction of Country,IBD/TIPP,"Right Direction 45, Wrong Track 53",Wrong Track +8,2018-10-11,2018
Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 51",Wrong Track +8,2018-10-15,2018
Direction of Country,Reuters/Ipsos,"Right Direction 38, Wrong Track 55",Wrong Track +17,2018-10-17,2018
Direction of Country,Economist/YouGov,"Right Direction 40, Wrong Track 53",Wrong Track +13,2018-10-17,2018
Direction of Country,CBS News,"Right Direction 37, Wrong Track 58",Wrong Track +21,2018-10-19,2018
Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 51",Wrong Track +8,2018-10-22,2018
Direction of Country,Economist/YouGov,"Right Direction 40, Wrong Track 52",Wrong Track +12,2018-10-24,2018
Direction of Country,Reuters/Ipsos,"Right Direction 43, Wrong Track 52",Wrong Track +9,2018-10-25,2018
Direction of Country,USA Today/Suffolk,"Right Direction 36, Wrong Track 55",Wrong Track +19,2018-10-25,2018
Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 53",Wrong Track +10,2018-10-29,2018
Direction of Country,Reuters/Ipsos,"Right Direction 39, Wrong Track 54",Wrong Track +15,2018-10-31,2018
Direction of Country,Economist/YouGov,"Right Direction 38, Wrong Track 55",Wrong Track +17,2018-10-31,2018
Direction of Country,Harvard-Harris,"Right Direction 39, Wrong Track 53",Wrong Track +14,2018-11-01,2018
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 38, Wrong Track 54",Wrong Track +16,2018-11-04,2018
Direction of Country,IBD/TIPP,"Right Direction 46, Wrong Track 52",Wrong Track +6,2018-11-04,2018
Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 53",Wrong Track +10,2018-11-05,2018
